Security assistance,Program it was sourced under,Category,Number Provided, Total cost estimate ,Source for cost
Tactical vehicles to tow and haul equipment,Both,Ground Maneuver,"1,000"," $507,000,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Tactical vehicles to recover equipment,Both,Ground Maneuver,153," $77,571,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Command post vehicles,Presidential drawdown authority (PDA),Ground Maneuver,10," $5,770,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Ammunition support vehicles,Presidential drawdown authority (PDA),Ground Maneuver,30," $626,550,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Armored bridging systems,Both,Ground Maneuver,27," $468,720,000.00 ",https://thedefensepost.com/2022/07/15/philippine-army-tank-bridges/
Logistics support vehicles and equipment,Both,Ground Maneuver,20," $15,260,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Fuel tankers,Both,Ground Maneuver,239," $182,357,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Fuel trailers,Ukraine Security Assistance Initiative (USAI),Ground Maneuver,105," $80,115,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Water trailers,Presidential drawdown authority (PDA),Ground Maneuver,58," $44,254,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Armored utility trucks,Presidential drawdown authority (PDA),Ground Maneuver,6," $3,462,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
125mm tank ammunition rounds,Ukraine Security Assistance Initiative (USAI),Ground Maneuver,"100,000"," $742,000,000.00 ",https://www.thetimes.com/uk/defence/article/why-are-arms-dealers-hiking-prices-for-ukraine-92hqdtlx2
"120mm tank ammunition rounds, including depleted uranium tank ammunition",Both,Ground Maneuver,, ~7500 per round ,https://www.dsca.mil/press-media/major-arms-sales/israel-m830a1-120mm-tank-cartridges
105mm tank ammunition rounds,Presidential drawdown authority (PDA),Ground Maneuver,,,
25mm ammunition rounds,Presidential drawdown authority (PDA),Ground Maneuver,"1,800,000"," $167,400,000.00 ",https://www.federaltimes.com/news/your-military/2024/03/25/how-the-pentagon-found-300m-for-ukraine-but-is-still-deep-in-the-red/
Mine clearing equipment,Both,Ground Maneuver,, 492000 per machine ,https://www.businessinsider.com/ukraine-got-first-armtrac-400-mine-clearing-machine-british-made-2022-10
Mi-17 helicopters,Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,20," $600,000,000.00 ",(inflation adjusted) https://web.archive.org/web/20100622041236/http://www.msnbc.msn.com/id/37793266/ns/politics-washington_post
Switchblade Unmanned Aerial Systems (UAS),Ukraine Security Assistance Initiative (USAI),Aircraft and Unmanned Aerial Systems,100," $5,300,000.00 ",https://www.19fortyfive.com/2023/07/the-u-s-army-wont-buy-anymore-switchblade-300-kamikaze-drones/
Phoenix Ghost UAS,Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,"1,801"," $234,130,000.00 ",https://www.forbes.com/sites/davidhambling/2024/09/09/tracking-down-the-mysterious-phoenix-ghost-kamikaze-drone/
CyberLux K8 UAS,Ukraine Security Assistance Initiative (USAI),Aircraft and Unmanned Aerial Systems,?,,
Altius-600 UAS,Ukraine Security Assistance Initiative (USAI),Aircraft and Unmanned Aerial Systems,?, 1030000 per drone ,https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-34
Jump-20 UAS,Ukraine Security Assistance Initiative (USAI),Aircraft and Unmanned Aerial Systems,?, 8000000 per system ,https://breakingdefense.com/2022/08/aerovironment-wins-first-increment-of-armys-future-tactical-drone-competition/
Hornet UAS,Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,?, 195000 per drone ,https://www.engineering.com/the-incredible-engineering-of-the-black-hornet-nano-drone/
Puma UAS,Ukraine Security Assistance Initiative (USAI),Aircraft and Unmanned Aerial Systems,?, 230000 per drone ,https://thedefensepost.com/2022/07/26/aerovironment-us-army-puma-drone/?_gl=1*8rqgxu*_ga*ODkxMDg5NjI2LjE3MzYwMzczMzc.*_ga_W7TS6SK2MX*MTczNjI0MjU5NC42LjAuMTczNjI0MjU5NC4wLjAuMA..
Scan Eagle UAS,Ukraine Security Assistance Initiative (USAI),Aircraft and Unmanned Aerial Systems,30," $150,000,000.00 ",(inflation adjusted) https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104532/scan-eagle/
Penguin UAS,Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,?, 20000 per drone ,https://www.forbes.com/sites/vikrammittal/2023/07/16/the-penguin-uas-the-cost-effective-adaptable-solution-in-ukraines-ongoing-war/
Two radars for UAS,Ukraine Security Assistance Initiative (USAI),Aircraft and Unmanned Aerial Systems,?,,
High-speed Anti-radiation missiles (HARMs),Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,?, 242000 per missile ,(inflation adjusted) https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104574/agm-88-harm/
Air-to-ground munitions,Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,?,,
Zuni aircraft rockets,Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,"6,000"," $648,000.00 ",(inflation adjusted) https://www.cia.gov/readingroom/docs/CIA-RDP78S02149R000100050029-3.pdf
Hydra-70 aircraft rockets,Presidential drawdown authority (PDA),Aircraft and Unmanned Aerial Systems,"20,000"," $28,000,000.00 ",(inflation adjusted) https://www.dacis.com/budget/budget_pdf/FY18/PROC/A/E37300_20.pdf
Munitions for UAS,?,Aircraft and Unmanned Aerial Systems,?,,
Javelin and AT-4 anti-armor systems,Both,Anti-armor and Small Arms,"10,000"," $3,680,000,000.00 ",https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/FY2025_Weapons.pdf
Other anti-armor systems and munitions - possibly NLAWs,?,Anti-armor and Small Arms,"120,000",,
"Tube-Launched, Optically-Tracked, Wire-Guided (TOW) missiles",Presidential drawdown authority (PDA),Anti-armor and Small Arms,"10,000"," $1,040,000,000.00 ",(inflation adjusted) https://www.dacis.com/budget/budget_pdf/FY19/PROC/N/3017_12.pdf
Grenade launchers and small arms,Both,Anti-armor and Small Arms,"50,000"," $100,000,000.00 ",educated guess
Rounds of small arms ammunition and grenades,Both,Anti-armor and Small Arms,"500,000,000"," $500,000,000.00 ",educated guess 
Laser-guided rocket systems and munitions,Ukraine Security Assistance Initiative (USAI),Anti-armor and Small Arms,,,
Rocket launchers and ammunition,Ukraine Security Assistance Initiative (USAI),Anti-armor and Small Arms,,,
Anti-armor mines,Presidential drawdown authority (PDA),Anti-armor and Small Arms,, 3-30 per mine ,https://united24media.com/war-in-ukraine/how-much-do-weapons-cost-from-the-smallest-land-mine-to-the-largest-missile-system-804
Harpoon coastal defense systems and anti-ship missiles,Ukraine Security Assistance Initiative (USAI),Maritime,2," $57,960,000.00 ",(inflation adjusted) https://thedefensepost.com/2024/08/27/taiwan-harpoon-missile-bases/
Coastal and riverine patrol boats,Presidential drawdown authority (PDA),Maritime,100," $175,000,000.00 ",(for Mark VI boat) https://www.usni.org/magazines/proceedings/2021/may/mk-vi-dead-long-live-mk-vii
Unmanned Coastal Defense Vessels,Ukraine Security Assistance Initiative (USAI),Maritime,,,
Port and harbor security equipment,Ukraine Security Assistance Initiative (USAI),Maritime,,,
M18A1 Claymore anti-personnel munitions,Presidential drawdown authority (PDA),Other capabilities,, 688 per mine ,(inflation adjusted) https://www.dacis.com/budget/budget_pdf/FY15/PROC/A/0442EA0800_17.pdf
"C-4 explosives, demolition munitions, and demolition equipment for obstacle clearing",Both,Other capabilities,,,
Obstacle emplacement equipment,Presidential drawdown authority (PDA),Other capabilities,,,
Counter air defense capability,Presidential drawdown authority (PDA),Other capabilities,,,
Sets of body armor and helmets,Presidential drawdown authority (PDA),Other capabilities,"100,000"," $35,000,000.00 ",https://www.moore.army.mil/Tenant/LRC/content/pdf/20240318%20March%202024%20CIF%20Pricelist.pdf
Tactical secure communications systems and support equipment,Both,Other capabilities,,,
Satellite communications (SATCOM) antennas,Presidential drawdown authority (PDA),Other capabilities,4,,
SATCOM terminals and services,Ukraine Security Assistance Initiative (USAI),Other capabilities,,,
Electronic warfare (EW) and counter-EW equipment,?,Other capabilities,,,
Commercial satellite imagery services,Ukraine Security Assistance Initiative (USAI),Other capabilities,,,
"Night vision devices, surveillance and thermal imagery systems, optics, and rangefinders",Presidential drawdown authority (PDA),Other capabilities,,,
Equipment to protect critical national infrastructure,Presidential drawdown authority (PDA),Other capabilities,,,
Explosive ordnance disposal equipment and protective gear,Ukraine Security Assistance Initiative (USAI),Other capabilities,,,
"Chemical, Biological, Radiological, Nuclear (CBRN) protective equipment",Presidential drawdown authority (PDA),Other capabilities,,,
"Medical supplies, including first aid kits, bandages, monitors, and other equipment",Presidential drawdown authority (PDA),Other capabilities,,,
"Field equipment, cold weather gear, generators, and spare parts",Presidential drawdown authority (PDA),Other capabilities,,,
"Support for training, maintenance, and sustainment activities",Ukraine Security Assistance Initiative (USAI),Other capabilities,,,
